"","Interaction.pathway1","Interaction.pathway2","N"
"131","GO:0016570 "," GO:0031279",1
"132","GO:0007600 "," GO:0016570",1
"133","GO:0016570 "," GO:0035265",2
"134","GO:0034340 "," GO:0046849",1
"135","GO:0006360 "," GO:0071357",2
"136","GO:0016570 "," GO:0050880",3
"137","GO:0006360 "," GO:0034340",1
"138","GO:0016570 "," GO:0061437",1
"139","GO:0007589 "," GO:0071357",1
"140","GO:0006775 "," GO:0016570",2
"141","GO:0016570 "," GO:0048592",4
"142","GO:0016570 "," GO:0060324",3
"143","GO:0019048 "," GO:0045087",1
"144","GO:0007588 "," GO:0016570",3
"145","GO:0009063 "," GO:0016570",1
"146","GO:0016570 "," GO:0051781",3
"147","GO:0001763 "," GO:0016570",2
"148","GO:0001838 "," GO:0060337",1
"149","GO:0060337 "," GO:0072175",1
"150","GO:0016570 "," GO:0048483",2
"151","GO:0010001 "," GO:0016570",2
"152","GO:0016570 "," GO:0045165",1
"153","GO:0016570 "," GO:0060688",6
"154","GO:0014075 "," GO:0016570",3
"155","GO:0015672 "," GO:0016570",1
"156","GO:0001523 "," GO:0016570",2
"157","GO:0003018 "," GO:0016570",1
"158","GO:0016570 "," GO:0030500",3
"159","GO:0016570 "," GO:0034765",2
"160","GO:0007156 "," GO:0016570",3
"161","GO:0016570 "," GO:0030162",1
"162","GO:0016570 "," GO:0042506",2
"163","GO:0016570 "," GO:0046888",4
"164","GO:0016570 "," GO:0050922",2
"165","GO:0009880 "," GO:0016570",2
"166","GO:0002688 "," GO:0016570",3
"167","GO:0007422 "," GO:0016570",3
"168","GO:0016570 "," GO:0046660",2
"169","GO:0016570 "," GO:0055013",1
"170","GO:0016570 "," GO:0060993",3
"171","GO:0043552 "," GO:0060337",1
"172","GO:0016570 "," GO:0048709",1
"173","GO:0071357 "," GO:2000106",1
"174","GO:0007586 "," GO:0016570",2
"175","GO:0016569 "," GO:0051272",2
"176","GO:0016570 "," GO:0042594",1
"177","GO:0016570 "," GO:0042475",1
"178","GO:0045453 "," GO:0060337",1
"179","GO:0016570 "," GO:0030902",2
"180","GO:0034340 "," GO:0097028",1
"181","GO:0007565 "," GO:0016570",1
"182","GO:0016050 "," GO:0016570",1
"183","GO:0016570 "," GO:0060079",2
"184","GO:0016570 "," GO:0033344",1
"185","GO:0010948 "," GO:0045087",1
"186","GO:0015833 "," GO:0016570",1
"187","GO:0003407 "," GO:0016570",4
"188","GO:0006022 "," GO:0016570",1
"189","GO:0009164 "," GO:0016570",1
"190","GO:0016569 "," GO:0060317",1
"191","GO:0016570 "," GO:0034284",3
"192","GO:0043406 "," GO:0045087",1
"193","GO:0016570 "," GO:0017144",2
"194","GO:0032465 "," GO:0034340",1
"195","GO:0007565 "," GO:0016569",1
"196","GO:0016570 "," GO:0019216",1
"197","GO:0016570 "," GO:0050795",3
"198","GO:0032465 "," GO:0071357",1
"199","GO:0016570 "," GO:0050905",1
"200","GO:0007605 "," GO:0016570",1
"201","GO:0016570 "," GO:0045761",2
"202","GO:0016570 "," GO:0022409",3
"203","GO:0016570 "," GO:0046058",2
"204","GO:0016570 "," GO:0051339",2
"205","GO:0016570 "," GO:0021536",2
"206","GO:0009593 "," GO:0016570",3
"207","GO:0034340 "," GO:0050778",1
"208","GO:0016570 "," GO:0060047",1
"209","GO:0001505 "," GO:0016570",2
"210","GO:0016570 "," GO:0051971",2
"211","GO:0006937 "," GO:0016570",2
"212","GO:0007259 "," GO:0016570",1
"213","GO:0010720 "," GO:0016570",2
"214","GO:0007606 "," GO:0016570",1
"215","GO:0006586 "," GO:0016570",1
"216","GO:0016570 "," GO:0030199",2
"217","GO:0034340 "," GO:0048489",1
"218","GO:0016570 "," GO:0071229",3
"219","GO:0045087 "," GO:2000107",2
"220","GO:0016570 "," GO:0051604",1
"221","GO:0016570 "," GO:0061053",1
"222","GO:0008016 "," GO:0016570",3
"223","GO:0050778 "," GO:0071357",1
"224","GO:0016570 "," GO:0030335",1
"225","GO:0016570 "," GO:0032944",1
"226","GO:0016570 "," GO:0043123",1
"227","GO:0001938 "," GO:0016570",3
"228","GO:0009620 "," GO:0034340",2
"229","GO:0016570 "," GO:0060042",2
"230","GO:0016570 "," GO:0050731",1
"231","GO:0016570 "," GO:0050873",2
"232","GO:0016570 "," GO:0048839",1
"233","GO:0016570 "," GO:2000027",1
"234","GO:0016570 "," GO:0048562",2
"235","GO:0016570 "," GO:0060389",2
"236","GO:0030218 "," GO:0045087",1
"237","GO:0001841 "," GO:0071357",1
"238","GO:0006721 "," GO:0016570",2
"239","GO:0016570 "," GO:0061025",3
"240","GO:0016570 "," GO:0042472",1
"241","GO:0016570 "," GO:0055117",2
"242","GO:0016570 "," GO:0042517",2
"243","GO:0001558 "," GO:0016570",1
"244","GO:0002474 "," GO:0016570",4
"245","GO:0016569 "," GO:0021953",1
"246","GO:0007416 "," GO:0016570",1
"247","GO:0035148 "," GO:0045087",2
"248","GO:0016570 "," GO:0048645",2
"249","GO:0016570 "," GO:0050678",1
"250","GO:0016570 "," GO:0051402",1
"251","GO:0060337 "," GO:2000106",1
"252","GO:0001755 "," GO:0016570",1
"253","GO:0003015 "," GO:0016569",1
"254","GO:0007498 "," GO:0016570",1
"255","GO:0006112 "," GO:0016570",2
"256","GO:0006363 "," GO:0045087",1
"257","GO:0033205 "," GO:0045087",1
"258","GO:0009582 "," GO:0016570",1
"259","GO:0016570 "," GO:0045926",2
"260","GO:0002764 "," GO:0060337",1
"261","GO:0016570 "," GO:0055024",1
"262","GO:0016570 "," GO:0030728",1
"263","GO:0016570 "," GO:0050906",1
"264","GO:0001841 "," GO:0045087",3
"265","GO:0008344 "," GO:0016570",1
"266","GO:0016570 "," GO:1900180",1
"267","GO:0009620 "," GO:0045087",1
"268","GO:0006184 "," GO:0016570",1
"269","GO:0051028 "," GO:2000107",1
"270","GO:0071357 "," GO:2000107",1
"271","GO:0016570 "," GO:0051899",1
"272","GO:0016570 "," GO:0048284",2
"273","GO:0007190 "," GO:0016570",1
"274","GO:0016570 "," GO:1901068",1
"275","GO:0044259 "," GO:0060337",1
"276","GO:0016570 "," GO:0048568",1
"277","GO:0045087 "," GO:0046849",1
"278","GO:0016570 "," GO:0031016",2
"279","GO:0045600 "," GO:0071357",1
"280","GO:0006725 "," GO:0016570",1
"281","GO:0045807 "," GO:0060337",1
"282","GO:0016570 "," GO:0034654",1
"283","GO:0016570 "," GO:0048754",1
"284","GO:0016570 "," GO:0060840",3
"285","GO:0010975 "," GO:0071357",1
"286","GO:0016570 "," GO:0055006",2
"287","GO:0016570 "," GO:0061098",2
"288","GO:0002479 "," GO:0016570",1
"289","GO:0045087 "," GO:0051327",1
"290","GO:0031640 "," GO:0034340",1
"291","GO:0001654 "," GO:0016570",2
"292","GO:0016570 "," GO:0030203",1
"293","GO:0032465 "," GO:0045087",1
"294","GO:0045087 "," GO:0060416",3
"295","GO:0045087 "," GO:0097028",1
"296","GO:0016570 "," GO:0019229",1
"297","GO:0016570 "," GO:0042787",1
"298","GO:0016569 "," GO:0045833",1
"299","GO:0045087 "," GO:0045600",1
"300","GO:0003015 "," GO:0016570",1
"301","GO:0016570 "," GO:0061351",1
"302","GO:0016570 "," GO:0060419",1
"303","GO:0045087 "," GO:0072175",2
"304","GO:0007613 "," GO:0016570",1
"305","GO:0006171 "," GO:0016570",1
"306","GO:0010951 "," GO:0016570",1
"307","GO:0016570 "," GO:0070997",1
"308","GO:0002478 "," GO:0016570",2
"309","GO:0009948 "," GO:0016570",2
"310","GO:0016570 "," GO:0097285",1
"311","GO:0006275 "," GO:0016570",1
"312","GO:0016570 "," GO:0030308",1
"313","GO:0016570 "," GO:0046887",1
"314","GO:0016570 "," GO:0045089",1
"315","GO:0046328 "," GO:0071357",1
"316","GO:0016570 "," GO:0033002",1
"317","GO:0002685 "," GO:0016570",2
"318","GO:0006936 "," GO:0016570",1
"319","GO:0001658 "," GO:0016570",2
"320","GO:0016570 "," GO:0043433",1
"321","GO:0006939 "," GO:0016570",1
"322","GO:0016569 "," GO:0070997",1
"323","GO:0045087 "," GO:0048524",2
"324","GO:0009266 "," GO:0016570",1
"325","GO:0016570 "," GO:0048002",1
"326","GO:0032720 "," GO:0071357",1
"327","GO:0016570 "," GO:0030178",1
"328","GO:0051321 "," GO:0060337",1
"329","GO:0006813 "," GO:0016569",1
"330","GO:0016570 "," GO:0021766",1
"331","GO:0016570 "," GO:0030814",2
"332","GO:0016570 "," GO:0034220",1
"333","GO:0016570 "," GO:0042092",1
"334","GO:0015837 "," GO:0016570",1
"335","GO:0016570 "," GO:0060402",1
"336","GO:0001704 "," GO:0016570",1
"337","GO:0016570 "," GO:0072207",1
"338","GO:0034340 "," GO:0048524",1
"339","GO:0045087 "," GO:0048489",1
"340","GO:0034340 "," GO:0072175",1
"341","GO:0044236 "," GO:0045087",1
"342","GO:0016570 "," GO:0030817",1
"343","GO:0016570 "," GO:0090077",1
"344","GO:0016570 "," GO:0060021",1
"345","GO:0016570 "," GO:0019748",1
"346","GO:0000288 "," GO:0034340",1
"347","GO:0016570 "," GO:0048678",1
"348","GO:0009581 "," GO:0016569",1
"349","GO:0016569 "," GO:0032868",1
"350","GO:0016570 "," GO:0051302",1
"351","GO:0016570 "," GO:0048546",1
"352","GO:0016570 "," GO:0022898",2
"353","GO:0001657 "," GO:0016570",1
"354","GO:0006979 "," GO:0016570",2
"355","GO:0016570 "," GO:0030802",2
